Nama,Bintang,Tanggal dan Waktu,Ulasan
Edy Suranto,5,11/17/2023 9:33,"Aplikasi yang sangat bagus, banyak sekali promo yang ditawarkan,banyak juga pilihan destinasi wisata juga, kalo ada hal mendadak yang menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi, trimksih Traveloka."
p mustika,2,11/16/2023 21:27,"Semua aman terkendali sampai akun paylater di bekukan dan saat minta diaktifkan tdk bisa, harus menunggu saja. Bberapa tahun tdk pernah lagi menggunakan app sampai kemudian diaktifkan kembali.Semua pembayaran sehat kemudian tiba2 virtual number tidak dapat digunakan dengan alasan keamanan walaupun yg lain bisa digunakan. Mencoba menghubungi cs kembali tapi tdk ada solusi, hanya permohonan maaf dan pemakluman. Saya rasa cs sangat minim pengetahuan produk dan kemampuan menyelesaikan masalah cust."
Akhmad Jailani,5,11/9/2023 5:14,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak, pilihan destinasi wisata juga. Kalau aa hal mendadak yg menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi. Terimakasih Traveloka."
Laras Ayu,5,11/13/2023 9:07,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak, pilihan destinasi wisata juga. Kalau aa hal mendadak yg menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi"
19 chanel,5,11/17/2023 5:29,"Aplikasi ini sangat memudah urusana perjalanan, kualitas yang baik dan terpercaya, mudah di gunakan saat bepergian kmna saja, pokonya Traveloka mantap dan smoga aplikasi ini semakin berkembang..!!!"
Zenal Parker,5,11/17/2023 10:39,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak pilihan distenasi wisata yang lengkap, pokoknya Anti ribet dah,, ada fitur rescuedul jadi tdak worry lagi makasih Traveloka"
Milani Krisyanti,5,11/16/2023 11:38,"Aplikasi ini sangatlah membantu buat kalian yg hobi banget jalan2. Aplikasinya ngga ribet dan ngga bnyk embel2 nya. Buat kalian yg mau bepergian kemanapun, soal perjalanan dan penginapan percayakan kepada Traveloka."
Vebrie Anienbie,2,11/10/2023 8:13,"Sekarang Traveloka masuk nya susah mau lihat harga tiket atau limit aja layar nya putih, padahal dulu lancar2 aja. Alasan nya d suruh instal versi terbaru, padahal saya sudah instal tapi tetap aja Lola, malah mau lihat harga tiket aja gak tersedia terus, makin buruk aja ni aplikasi"
Deden Maulana,5,11/13/2023 4:49,"Aplikasi perjalanan ini luar biasa! Penggunaannya sangat intuitif, memungkinkan saya dengan mudah mencari dan memesan tiket pesawat, hotel, dan aktivitas wisata. Fitur penawaran khusus dan notifikasi harga sangat membantu. Selain itu, peta interaktif dan ulasan pengguna membantu saya merencanakan perjalanan dengan baik. Dengan dukungan pelanggan yang responsif dan layanan yang dapat diandalkan, aplikasi ini adalah teman. perjalanan yang sempurna untuk petualangan Anda."
Luthfia Annisa,5,11/12/2023 6:22,Traveloka aplikasi yang sangat memudahkan kita jika hendak berwisata. Di aplikasi ini menyediakan berbagai diskon menarik sehingga nggak perlu mengeluarkan budget yang besar.. sukses selalu traveloka !
Nelia Ma'rifah,5,11/16/2023 8:57,Transaksi lebih mudah dan murah dengan aplikasi traveloka. Terasa lebih efesien dan tentunya sangat membantu. Sukses selalu traveloka!!??
Halimatus Sa'diyya,5,11/17/2023 4:32,"Sangat memudahkan untuk liburan, aplikasi yanga sangat membantu. Banyak vocher jadi lebih hemat kalo mau booking. Aplikasi yang sangat rekomended"
Dicki Faudzin,5,11/16/2023 9:59,"Aplikasi yg sangat bagus , banyak promo nya juga dan smemudahkan dalam perjalanan apapun , kualitas nya baik dan terpecaya , pokok nya mantap banget traveloka"
Umi Nurbaiti,5,11/16/2023 11:27,"Pakai traveloka bisa buat pulang kampung (mudik) lebih nyaman dengan penawaran transportasi yg ada di travaleko. Bagus banget, bs dicicil lagi. Tanks"
Gin akil,1,10/6/2023 7:31,"Akun traveloka susah untuk diakses, mandeg di logo burung. Harus di uninstal dulu, kemudian instal baru lagi, beberapakali saya mengalami ini. Traveloka jadi tidak nyaman untuk diakses kalau terus menerus seperti itu. Kalau hanya saya (karena perangkat), pasti bukan, karena dari sekian banyak app, HANYA traveloka yang suka ngadat... Ini editan komentar, setelah mendapat jawaban ""maaf bla bla bla.. "" Ngadatnya aplikasi ini masih terjadi. Sepertinya memang sangat berat kalau sudah dipakai"
Muhammad Reihan,5,11/7/2023 12:21,"Aplikasi perjalanan ini luar biasa! Penggunaannya sangat intuitif, memungkinkan saya dengan mudah mencari dan memesan tiket pesawat, hotel, dan aktivitas wisata. Fitur penawaran khusus dan notifikasi harga sangat membantu. Selain itu, peta interaktif dan ulasan pengguna membantu saya merencanakan perjalanan dengan baik. Dengan dukungan pelanggan yang responsif dan layanan yang dapat diandalkan, aplikasi ini adalah teman perjalanan yang sempurna untuk petualangan Anda."
abrar Rizki,5,11/14/2023 9:19,"Traveloka adalah platform perjalanan yang luar biasa, menghubungkan pengguna dengan pengalaman liburan yang tak terlupakan. Antarmuka yang intuitif membuatnya mudah digunakan, dan pilihan akomodasi serta penerbangan yang luas memastikan ada sesuatu untuk setiap jenis wisatawan."
Okta Viani,5,11/12/2023 7:13,"Seneng banget nyari hotel pakai Traveloka, bisa sambil rebahan dirumah milih2 hotel yang sesuai keinginan dan budget kita, payment nya pun mudah, hotelnya juga bagus2 sekali.. Mau nyari kebutuhan travel kamu? Ya di Traveloka aja.."
Jakok Really,5,11/4/2023 9:51,"Aplikasi nya mudah digunakan, sangat membantu mencari hotel yang nyaman, fiturnya banyak trus gampang, diskon nya mantap, best lah ni aplikasi traveloka"
Destia Amelia,5,11/9/2023 18:14,"Wowww??.....Aplikasi yang menawarkan banyak fitur yang mudah digunakan, seperti pencarian tiket pesawat, hotel, dan pemesanan tiket atraksi wisata. Selain itu, fitur perbandingan harga yang disediakan memungkinkan pengguna untuk menemukan penawaran terbaik. Selain kemudahan penggunaan, aplikasi ini juga sering memberikan promo dan diskon menarik, sehingga pengguna dapat menghemat lebih banyak uang.lup lup bet traveloka??"
Yasa,5,11/2/2023 6:19,"Pergi kemana saja menjadi mudah dengan traveloka, tidak kebingungan untuk memesan hotel dan transportasi Menjadikan perjalanan kita menjadi lebih mudah dan maksimal, daan yang paling penting sangat mudah tatacara pemesanan nya jadi untuk pemula tidak sulit untuk mencoba"
yulia purnama sari,5,11/4/2023 6:31,"Traveloka ini rekomendasi banget si ,karena bisa mencari tiket pesawat menggunakan sistem pencarian cerdas yang mampu menampilkan hasil lengkap dan akurat, dalam waktu singkat."
Damayanti AF,5,11/14/2023 11:17,"dibandingkan dengan aplikasi yang lain, menurut saya traveloka sih yang terbaik.. banyak diskon dan aplikasi nya mudah untuk digunakan.. terimakasih traveloka?"
Adhe Putri,5,11/13/2023 10:45,"Setelah di bandingkan dengan aplikasi lain, cuma traveloka yang nyaman buat di gunakan secara mudah dan simple, fitur nya juga banyak dan sangat membantu, terimakasih traveloka"
