review,kebersihan,linen,service,Gabungan
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat,pos,neut,neut,posneutneut
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",pos,neut,neut,posneutneut
"Bersih,nyaman & asri. Cuma syg prnh airnya mati setengah hari & lokasinya bkn d jalan utama",pos,neut,neut,posneutneut
"Kamar bersih dan nyaman, sarapan minimalis, cuma 1 menu, air panas tidak berfungsi",pos,neut,neut,posneutneut
bersih tempatnya. saya suka. cuma air panasnya lagi macet kmrn.,pos,neut,neut,posneutneut
"Bersih, nyaman, tapi WiFi lola banget ",pos,neut,neut,posneutneut
"Kamar bagus,rapi,bersih dan wangi tapi sayang kamar yang saya tempati ac nya tdk dingin dan air panas nya juga makannya tidak enak dan porsi nya sudah di takar",pos,neut,neut,posneutneut
"bersih, kamar yg nyaman to kurang 1 yaitu WiFi yg Tidak bisa connect ",pos,neut,neut,posneutneut
kamar bersih namun air panas tidak teesedia,pos,neut,neut,posneutneut
"haha..keliatan kolam renang besar,gk tau buat anak2 kali ya...naik tangga lagi...kamarnya cukup luas dan bersih..cuma air di kamar mandi kecil. shower harus diganti...wifi gak ada...dapat kamarnya lt.3. naik tangga..bawa barang agak ngos2an. cuma untungnya ke mana2 dekat...",pos,neut,neut,posneutneut
nyamna dan bersih...tapi masa air panas baru dinyalain uda dingin lagi,pos,neut,neut,posneutneut
"kamar bersih dan nyaman, toilet bersih, hot shower tidak ada, sarapan enak, channel tv (hampir) semua tidak bagus butuh perbaikan antena/saluran",pos,neut,neut,posneutneut
