review,kebersihan,linen,service,Gabungan
"Pelayanan ramah, namun air panas shower perlu diperbaiki",neut,neut,pos,neutneutpos
"staff semua ramah dan baik.  namun lokasi sangat jauh harga terlalu mahal untuk fasilitas yg minim no wifi di kamar,  sarapan hanya nasi goreng, banyak nyamuk",neut,neut,pos,neutneutpos
"(+) kamar cukup luas, staff ramah, sarapan enak meski hanya 1 macam (-) air kamar Mandi yg baunya tidak enak",neut,neut,pos,neutneutpos
pelayanan bagus sangat ramah. cuma ac kurang dingin dan channel tv kurang lengkap,neut,neut,pos,neutneutpos
"pelayanan baik, kondisi kamar baik, cuma tolong diperhatikan kamar mandi agak bau dikit tapi overall puass kalau kebandung lagi insyaalloh akan kesini lagi harga murah kualitas mewah thanks airy rooms ",neut,neut,pos,neutneutpos
servicenya ok..pegawainya ramah..pemandangan ok view ok..cuman air panas buat mandinya kadang panas kadang engga..all in mantap lah.. tingkatkan lg..,neut,neut,pos,neutneutpos
"alamat hotel sulit di temukan,  di waze pun tdk terdeteksi. ac tidak dingin, jendela rusak. tapi pelayanan nya ramah2 dan ganteng2 :)",neut,neut,pos,neutneutpos
"hotelnya bagus,pelayanan cukup dan kurangnya ac kurang dingin",neut,neut,pos,neutneutpos
"Yang berkesan pelayanannya ramah, yg kurang berkesan yaitu ac kamar meneteskan air dari bagian yg mengeluarkan angin. Solusi dari pihak hotel  yaitu menampung air tadahan pakai wadah.Semoga ke depannya bisa diperbaiki.",neut,neut,pos,neutneutpos
"Pelayanan ok, tapi... kamarnya agak pengap AC sudah agak tua dan berisik.",neut,neut,pos,neutneutpos
suka bgt pke airy.... dihotelnya jg nyaman emg cuma sinyalnya yg susah tp playanan suka dngan harga sgtu cucp abis bsok q pake airy lg klo psan2 hotel,neut,neut,pos,neutneutpos
"pelayanan sangat ramah,tapi kamar mandi bauuu sekali..",neut,neut,pos,neutneutpos
"Suka&cukup nyaman selama 2 mlm di guesthouse ini.. Service memuaskan, mau apa2 pasti disiapkan,air hangat ok.. Pas bgt dapat bagian depan yg ada balkon mungilnya. Yg perlu diperbaiki sinyal wifi aja, kurang lancar.. Tapi kawasan otten pakai kartu 3 sinyal4G nya ok bgt. Tq @iry",neut,neut,pos,neutneutpos
